Weekday,hour,minute,day_of_year,Quantity-1,Power
2,18,23,202,479565066.0,0.0
1,14,18,341,557824303.0,1481401834.0
2,17,39,202,350899749.0,840411830.0
4,1,44,260,527412950.0,421017015.0
0,10,34,319,778325488.0,1337597289.0
5,18,53,198,310025536.0,459396774.0
5,12,44,289,1279254671.0,491973800.0
2,23,25,356,0.0,376311944.0
2,6,34,314,1481401834.0,453788404.0
2,0,7,216,840411830.0,348640294.0
4,3,40,267,421017015.0,457560396.0
1,8,34,215,1337597289.0,518462520.0
2,12,31,258,459396774.0,1285009893.0
1,10,47,215,491973800.0,1272904468.0
0,15,59,347,376311944.0,1063986015.0
5,8,42,338,453788404.0,700285113.0
1,1,33,257,348640294.0,396735201.0
4,5,16,323,457560396.0,448063395.0
5,15,57,303,518462520.0,462491487.0
3,14,42,238,1285009893.0,1512532289.0
3,11,31,245,1272904468.0,1816258554.0
1,17,52,250,1063986015.0,938608674.0
0,7,57,228,700285113.0,303903090.0
2,12,28,335,396735201.0,1542843040.0
1,6,47,299,448063395.0,340742946.0
4,8,31,295,462491487.0,624263212.0
0,10,15,263,1512532289.0,1359339120.0
5,12,16,289,1816258554.0,370211344.0
3,16,0,224,938608674.0,1186223700.0
3,18,18,308,303903090.0,841480836.0
1,14,35,341,1542843040.0,1628281631.0
3,20,22,287,340742946.0,607807917.0
2,9,19,251,624263212.0,1215793134.0
3,10,16,252,1359339120.0,1470417400.0
0,4,2,340,370211344.0,0.0
4,1,29,260,1186223700.0,589332900.0
0,11,34,256,841480836.0,1855298700.0
2,8,23,286,1628281631.0,347775192.0
3,21,38,287,607807917.0,588524512.0
4,19,15,204,1215793134.0,521363619.0
2,3,19,293,1470417400.0,391195030.0
1,8,56,250,0.0,1083700142.0
0,17,50,221,589332900.0,650212182.0
4,1,54,288,1855298700.0,381262892.0
1,0,10,208,347775192.0,353293212.0
4,0,4,323,588524512.0,323145768.0
1,2,39,292,521363619.0,558714457.0
3,6,21,329,391195030.0,522141812.0
5,19,0,275,1083700142.0,485435417.0
4,21,4,267,650212182.0,652123728.0
5,14,31,268,381262892.0,1492619580.0
3,10,8,224,353293212.0,1320248565.0
4,10,47,225,323145768.0,1144846922.0
5,19,41,268,558714457.0,578979615.0
5,8,22,233,522141812.0,745455573.0
1,1,22,348,485435417.0,338350956.0
0,1,7,235,652123728.0,384730576.0
0,10,26,242,1492619580.0,1433383480.0
5,12,46,275,1320248565.0,1607500422.0
3,8,32,217,1144846922.0,733462119.0
5,9,44,338,578979615.0,1169494851.0
3,11,48,224,745455573.0,1438747766.0
4,0,29,190,338350956.0,325356162.0
5,8,54,331,384730576.0,951579164.0
1,13,45,229,1433383480.0,1282009379.0
3,0,54,329,1607500422.0,349546336.0
2,15,42,307,733462119.0,1424327490.0
2,16,11,237,1169494851.0,1444697076.0
2,21,16,230,1438747766.0,584710460.0
1,7,29,285,325356162.0,341851474.0
4,4,8,246,951579164.0,331513138.0
1,11,29,243,1282009379.0,1926274882.0
2,15,56,342,349546336.0,1143195860.0
5,19,11,324,1424327490.0,608451180.0
0,22,12,221,1444697076.0,463555080.0
3,17,16,217,584710460.0,652476110.0
2,22,36,328,341851474.0,551729995.0
5,20,31,345,331513138.0,512960360.0
1,5,50,271,1926274882.0,358126900.0
5,17,0,205,1143195860.0,335062416.0
5,14,58,275,608451180.0,729638508.0
4,20,24,232,463555080.0,452644640.0
0,3,54,284,652476110.0,465708874.0
4,8,57,316,551729995.0,1318943610.0
0,0,46,270,512960360.0,348292398.0
4,12,37,204,358126900.0,1259783808.0
5,16,53,191,335062416.0,481392688.0
0,0,43,207,729638508.0,341339898.0
0,1,26,242,452644640.0,401645430.0
4,14,33,232,465708874.0,1505884708.0
4,6,31,351,1318943610.0,502597971.0
1,12,50,257,348292398.0,0.0
2,10,18,328,1259783808.0,1389258620.0
5,1,55,240,481392688.0,466447720.0
4,13,35,316,341339898.0,1582629159.0
5,13,38,191,401645430.0,778676052.0
4,9,49,316,1505884708.0,1630616450.0
0,12,54,193,502597971.0,1205761598.0
5,8,51,226,0.0,734753040.0
3,23,28,210,1389258620.0,363462130.0
1,8,8,250,466447720.0,720345364.0
1,3,29,229,1582629159.0,326209083.0
1,4,51,257,778676052.0,360712317.0
0,9,4,214,1630616450.0,733190334.0
5,0,0,289,1205761598.0,381177350.0
5,6,17,268,734753040.0,491074956.0
0,18,4,221,363462130.0,674697973.0
1,0,21,215,720345364.0,342847082.0
0,22,32,291,326209083.0,394922028.0
3,8,54,252,360712317.0,1081912145.0
